 pose_Rx, pose_Ry
-0.153,-0.282
-0.156,-0.297
-0.16,-0.308
-0.171,-0.288
-0.19,-0.31
-0.181,-0.306
-0.174,-0.291
-0.187,-0.309
-0.187,-0.316
-0.186,-0.306
-0.191,-0.3
-0.188,-0.292
-0.189,-0.298
-0.182,-0.291
-0.186,-0.275
-0.202,-0.272
-0.197,-0.284
-0.183,-0.274
-0.191,-0.285
-0.174,-0.261
-0.191,-0.263
-0.184,-0.245
-0.193,-0.268
-0.184,-0.26
-0.178,-0.256
-0.184,-0.265
-0.189,-0.275
-0.173,-0.259
-0.172,-0.28
-0.162,-0.274
-0.176,-0.262
-0.186,-0.273
-0.181,-0.266
-0.184,-0.271
-0.188,-0.272
-0.186,-0.272
-0.188,-0.286
-0.168,-0.261
-0.178,-0.264
-0.179,-0.283
-0.16,-0.249
-0.169,-0.263
-0.175,-0.254
-0.175,-0.26
-0.178,-0.253
-0.178,-0.26
-0.185,-0.293
-0.159,-0.287
-0.146,-0.289
-0.153,-0.274
-0.161,-0.29
-0.166,-0.299
-0.161,-0.293
-0.157,-0.3
-0.154,-0.299
-0.149,-0.293
-0.154,-0.278
-0.159,-0.284
-0.15,-0.283
-0.159,-0.274
-0.181,-0.26
-0.188,-0.255
-0.187,-0.235
-0.181,-0.3
-0.169,-0.285
-0.161,-0.277
-0.158,-0.285
-0.156,-0.302
-0.155,-0.299
-0.151,-0.298
-0.157,-0.288
-0.156,-0.304
-0.161,-0.285
-0.16,-0.303
-0.15,-0.286
-0.158,-0.303
-0.158,-0.276
-0.165,-0.295
-0.164,-0.295
-0.159,-0.3
-0.151,-0.283
-0.152,-0.299
-0.155,-0.304
-0.151,-0.316
-0.155,-0.304
-0.148,-0.281
-0.15,-0.284
-0.151,-0.293
-0.148,-0.287
-0.16,-0.292
-0.151,-0.286
-0.153,-0.289
-0.161,-0.291
-0.156,-0.28
-0.161,-0.295
-0.162,-0.282
-0.159,-0.276
-0.163,-0.291
-0.155,-0.268
-0.17,-0.281
-0.158,-0.287
-0.16,-0.278
-0.153,-0.258
-0.177,-0.284
-0.166,-0.267
-0.189,-0.292
-0.177,-0.309
-0.175,-0.293
-0.171,-0.273
-0.195,-0.242
-0.204,-0.258
-0.207,-0.278
-0.185,-0.31
